2026-06-17 01:54:51 | INFO    | src.extract |   батч 806/2000, всего активаций: 96908
2026-06-17 01:54:52 | INFO    | src.extract |   батч 811/2000, всего активаций: 97499
2026-06-17 01:54:54 | INFO    | src.extract |   батч 816/2000, всего активаций: 98085
2026-06-17 01:54:55 | INFO    | src.extract |   батч 821/2000, всего активаций: 98681
2026-06-17 01:54:57 | INFO    | src.extract |   батч 826/2000, всего активаций: 99237
2026-06-17 01:54:58 | INFO    | src.extract |   батч 831/2000, всего активаций: 99796
2026-06-17 01:55:00 | INFO    | src.extract |   батч 836/2000, всего активаций: 100386
2026-06-17 01:55:01 | INFO    | src.extract |   батч 841/2000, всего активаций: 100961
2026-06-17 01:55:03 | INFO    | src.extract |   батч 846/2000, всего активаций: 101510
2026-06-17 01:55:04 | INFO    | src.extract |   батч 851/2000, всего активаций: 102101
2026-06-17 01:55:06 | INFO    | src.extract |   батч 856/2000, всего активаций: 102680
2026-06-17 01:55:07 | INFO    | src.extract |   батч 861/2000, всего активаций: 103270
2026-06-17 01:55:09 | INFO    | src.extract |   батч 866/2000, всего активаций: 103869
2026-06-17 01:55:10 | INFO    | src.extract |   батч 871/2000, всего активаций: 104434
2026-06-17 01:55:11 | INFO    | src.extract |   батч 876/2000, всего активаций: 105029
2026-06-17 01:55:13 | INFO    | src.extract |   батч 881/2000, всего активаций: 105639
2026-06-17 01:55:14 | INFO    | src.extract |   батч 886/2000, всего активаций: 106208
2026-06-17 01:55:16 | INFO    | src.extract |   батч 891/2000, всего активаций: 106795
2026-06-17 01:55:17 | INFO    | src.extract |   батч 896/2000, всего активаций: 107373
2026-06-17 01:55:19 | INFO    | src.extract |   батч 901/2000, всего активаций: 107978
2026-06-17 01:55:20 | INFO    | src.extract |   батч 906/2000, всего активаций: 108535
2026-06-17 01:55:22 | INFO    | src.extract |   батч 911/2000, всего активаций: 109057
2026-06-17 01:55:23 | INFO    | src.extract |   батч 916/2000, всего активаций: 109658
2026-06-17 01:55:25 | INFO    | src.extract |   батч 921/2000, всего активаций: 110256
2026-06-17 01:55:26 | INFO    | src.extract |   батч 926/2000, всего активаций: 110853
