id,cluster
2119,67
2120,67
2121,67
2122,67
2123,33
2124,84
2125,84
2126,33
2127,1
2128,95
2129,3
2130,89
2131,84
2132,87
2133,51
2134,45
2135,85
2136,99
2137,91
2138,15
2139,65
2140,46
2141,70
2142,87
2145,65
2147,33
2148,33
2149,33
2150,15
2151,15
2152,82
2153,1
2154,7
2155,37
2156,89
2157,63
2158,85
2159,60
2160,85
2161,38
2162,63
2163,16
2164,80
2165,76
2166,82
2167,15
2168,15
2169,15
2170,15
2171,1
2172,33
2173,45
2175,1
2176,51
2177,2
2178,85
2179,59
2180,59
2181,43
2182,43
2183,80
2184,42
2185,59
2186,7
2191,17
2192,1
2193,70
2194,93
2195,10
2196,7
2197,16
2198,43
2199,69
2225,7
2226,1
2227,22
2231,85
2232,10
2233,85
2234,85
2235,10
2236,10
2237,10
2238,10
2239,10
2240,10
2241,10
2242,10
2243,43
2244,10
2245,10
2246,43
2247,10
2248,43
2249,46
2250,88
2251,88
2252,88
2253,88
2254,88
2255,88
2256,88
2257,88
2258,88
2259,65
2260,65
2261,10
2262,69
2263,65
2264,10
2265,10
2266,91
2267,43
2268,65
2269,45
2270,10
2271,93
2272,42
2273,17
2274,11
2275,95
2276,76
2277,37
2278,80
2279,59
2280,59
2281,59
2282,92
2283,15
2284,3
2285,59
2286,59
2287,33
2288,87
2289,10
2290,72
2291,76
2292,37
2293,94
2294,98
2295,59
2296,16
2297,59
2298,28
2299,7
2300,81
2301,15
2302,0
2303,99
2304,99
2305,59
2306,72
2307,59
2308,91
2309,85
2310,59
2311,53
2315,17
2316,94
2317,13
2318,49
2323,41
2324,15
2325,92
2326,43
2327,59
2328,70
2329,15
2330,20
2331,53
2332,46
2333,46
2334,15
2343,33
2344,33
2345,33
2346,33
2347,33
2348,33
2349,33
2350,33
2351,85
2352,89
2353,85
2354,81
2355,64
2356,85
2357,15
2358,33
2359,49
2360,7
2361,63
2362,8
2363,43
2364,1
2365,0
2366,1
2368,85
2369,22
2370,29
2371,33
2372,93
2373,89
2374,91
2375,43
2376,14
2377,59
2378,69
2379,91
2381,15
2382,95
2383,88
2384,59
2385,2
2386,31
2387,76
2388,35
2389,47
2390,95
2391,3
2392,3
2393,3
2394,23
2395,69
2396,18
2397,13
2398,53
2399,0
2400,72
2401,96
2412,20
2413,1
2414,82
2415,7
2416,59
2417,22
2418,95
2421,34
2422,68
2423,13
2424,7
